"ano","codprov","codmun","ec","es","nuc","nome","pobtotal","pobhomes","pobmulleres"
"2025","32","088","01","01","00","ARCOS",179,99,80
"2025","32","088","02","01","00","ARNADO",33,17,16
"2025","32","088","03","01","00","CERNEGO",20,11,9
"2025","32","088","03","02","00","ROBLEDO, O",12,7,5
"2025","32","088","04","01","00","CÓRGOMO",249,135,114
"2025","32","088","05","01","00","CORREXAIS",30,19,11
"2025","32","088","05","02","00","PENOUTA",18,10,8
"2025","32","088","06","01","00","SAN VICENTE",48,28,20
"2025","32","088","07","01","00","MAZO, O",26,14,12
"2025","32","088","08","01","00","BAXELES",24,13,11
"2025","32","088","08","02","00","PORTELA",116,69,47
"2025","32","088","09","01","00","SAN MIGUEL DO OUTEIRO",44,22,22
"2025","32","088","10","01","00","VALENCIA DO SIL",78,42,36
"2025","32","088","11","01","00","VILAMARTÍN",648,335,313
"2025","32","088","11","02","00","VALDEGODOS",296,103,193


