"ano","codprov","codmun","ec","es","nuc","nome","pobtotal","pobhomes","pobmulleres"
"2025","32","015","00","01","00","OUTARDEPREGOS",41,25,16
"2025","32","015","01","01","00","BOLO, O",142,66,76
"2025","32","015","02","01","00","BUXÁN",32,14,18
"2025","32","015","03","01","00","CAMBELA",38,18,20
"2025","32","015","03","02","00","CELEIRÓS",18,11,7
"2025","32","015","04","01","00","CELAVENTE",66,31,35
"2025","32","015","05","01","00","CHANDOIRO",70,38,32
"2025","32","015","06","01","00","CHAO DE CASTRO",26,10,16
"2025","32","015","07","01","00","FORNELOS",20,10,10
"2025","32","015","08","01","00","ERMIDAS, AS",45,22,23
"2025","32","015","09","01","00","CHAO DAS DONAS",13,7,6
"2025","32","015","09","02","00","XAVA",11,7,4
"2025","32","015","09","03","00","ORXAIS, OS",3,2,1
"2025","32","015","10","01","00","LENTELLAIS",63,33,30
"2025","32","015","11","01","00","PARADELA",5,3,2
"2025","32","015","12","01","00","ACEVEDA",1,1,0
"2025","32","015","12","02","00","BARXA",4,3,1
"2025","32","015","12","03","00","SAN MARTIÑO",6,2,4
"2025","32","015","13","01","00","SANTA CRUZ",48,24,24
"2025","32","015","14","01","00","SEIXO, O",18,8,10
"2025","32","015","15","01","00","SAN PEDRO DOS NABOS",16,10,6
"2025","32","015","15","02","00","TEIXIDO",8,6,2
"2025","32","015","16","01","00","VAO, O",0,0,0
"2025","32","015","16","02","00","RIGUEIRA, A",14,6,8
"2025","32","015","16","03","00","TUXE",14,6,8
"2025","32","015","17","01","00","VALDANTA",25,12,13
"2025","32","015","18","01","00","VALBUXÁN",27,12,15
"2025","32","015","18","02","00","VILASECO",10,6,4


