"ano","codprov","codmun","ec","es","nuc","nome","pobtotal","pobhomes","pobmulleres"
"2025","32","073","01","01","00","BARRIO DE CASCALLÁ, O",8,5,3
"2025","32","073","01","02","00","CASTELO, O",38,20,18
"2025","32","073","02","01","00","BIOBRA",56,30,26
"2025","32","073","03","01","00","COVAS",15,4,11
"2025","32","073","04","01","00","OULEGO",70,37,33
"2025","32","073","05","01","00","PARDOLLÁN",13,6,7
"2025","32","073","05","02","00","VILAR DE SILVA",30,13,17
"2025","32","073","06","01","00","PORTO, O",39,20,19
"2025","32","073","06","02","00","REAL, O",21,8,13
"2025","32","073","07","01","00","QUEREÑO",101,56,45
"2025","32","073","07","02","00","SOBREDO",6,3,3
"2025","32","073","07","03","00","VILAR DE XEOS",4,2,2
"2025","32","073","08","01","00","ROBLEDO DA LASTRA, O",57,33,24
"2025","32","073","09","01","00","TRAMBASAUGAS",45,26,19
"2025","32","073","09","02","00","VAL, O",49,23,26
"2025","32","073","09","03","00","RUBIÁ",774,359,415
"2025","32","073","09","04","00","TAPADA, A",6,4,2
"2025","32","073","10","01","00","VEIGA DE CASCALLÁ, A",59,32,27


