codmun,concello,pct_mayores_65
32009,O Barco de Valdeorras,0.222
32015,O Bolo,0.525
32017,Carballeda de Valdeorras,0.356
32038,Larouco,0.443
32060,Petín,0.341
32072,A Rúa,0.317
32073,Rubiá,0.396
32083,A Veiga,0.437
32088,Vilamartín de Valdeorras,0.405
