"ano","codprov","codmun","ec","es","nuc","nome","pobtotal","pobhomes","pobmulleres"
"2025","32","083","01","01","00","BAÑOS",41,22,19
"2025","32","083","02","01","00","CANDEDA",10,5,5
"2025","32","083","03","01","00","CARRACEDO",13,8,5
"2025","32","083","04","01","00","CASDENODRES",27,13,14
"2025","32","083","05","01","00","CASTROMAO",36,26,10
"2025","32","083","06","01","00","CASTROMARIGO",34,13,21
"2025","32","083","07","01","00","COREXIDO",9,4,5
"2025","32","083","08","01","00","CORZOS",45,21,24
"2025","32","083","09","01","00","CURRA",7,4,3
"2025","32","083","10","01","00","HEDREIRA",13,7,6
"2025","32","083","11","01","00","ESPIÑO",20,12,8
"2025","32","083","12","01","00","XARES",26,13,13
"2025","32","083","13","01","00","LAMALONGA",39,14,25
"2025","32","083","14","01","00","MEDA",17,9,8
"2025","32","083","15","01","00","MEIXIDE",6,3,3
"2025","32","083","16","01","00","PRADA",19,10,9
"2025","32","083","16","02","00","POBOADO DE PRADA",4,2,2
"2025","32","083","17","01","00","PRADO",20,15,5
"2025","32","083","18","01","00","PRADOLONGO",18,12,6
"2025","32","083","19","01","00","PONTE",24,16,8
"2025","32","083","20","01","00","REQUEIXO",16,9,7
"2025","32","083","21","01","00","RIOMAO",8,6,2
"2025","32","083","22","01","00","SAN FIZ",13,9,4
"2025","32","083","23","01","00","SAN LOURENZO",30,15,15
"2025","32","083","24","01","00","SANTA CRISTINA",5,3,2
"2025","32","083","25","01","00","SEOANE",19,9,10
"2025","32","083","26","01","00","VALDÍN",32,20,12
"2025","32","083","27","01","00","VEIGA, A",291,142,149
"2025","32","083","28","01","00","VILABOA",7,3,4
"2025","32","083","29","01","00","VILANOVA",24,16,8


