"ano","codprov","codmun","ec","es","nuc","nome","pobtotal","pobhomes","pobmulleres"
"2025","32","009","00","01","00","REPORICELO",0,0,0
"2025","32","009","01","01","00","ALIXO",25,14,11
"2025","32","009","01","02","00","RAXOÁ",16,4,12
"2025","32","009","01","03","00","SAN MARTIÑO",0,0,0
"2025","32","009","02","01","00","BARCO, O",11101,5325,5776
"2025","32","009","02","02","00","VEIGA DE CABO",77,38,39
"2025","32","009","03","01","00","CASTRO, O",67,31,36
"2025","32","009","03","02","00","CÓRREGO, O",3,1,2
"2025","32","009","03","03","00","OUTARELO",17,9,8
"2025","32","009","04","01","00","CESURES",11,6,5
"2025","32","009","04","02","00","VALES",19,11,8
"2025","32","009","05","01","00","ÉNTOMA",275,137,138
"2025","32","009","06","01","00","FORCADELA",13,6,7
"2025","32","009","06","02","00","NOGALEDO",0,0,0
"2025","32","009","07","01","00","XAGOAZA",47,28,19
"2025","32","009","07","02","00","FERRADAL, O",7,4,3
"2025","32","009","08","01","00","CANDÍS",6,3,3
"2025","32","009","08","02","00","MILLAROUSO",33,16,17
"2025","32","009","08","03","00","SANTURXO",14,6,8
"2025","32","009","08","04","00","CARREIRAS, AS",8,5,3
"2025","32","009","09","01","00","PROBA, A",135,67,68
"2025","32","009","09","02","00","VEIGAMUÍÑOS",250,129,121
"2025","32","009","11","01","00","FERVENZA",16,8,8
"2025","32","009","11","02","00","MEIRAL, O",1,1,0
"2025","32","009","11","03","00","SANTA MARIÑA",15,10,5
"2025","32","009","12","01","00","CASTRO",10,5,5
"2025","32","009","12","02","00","SANTIGOSO",84,46,38
"2025","32","009","12","03","00","SOULECÍN",23,14,9
"2025","32","009","12","04","00","VILARIÑO",20,12,8
"2025","32","009","13","01","00","VILOVAL",46,25,21
"2025","32","009","13","02","00","VILANOVA",231,125,106
"2025","32","009","14","01","00","COEDO",27,15,12
"2025","32","009","15","01","00","VILOIRA",773,373,400


