"ano","codprov","codmun","ec","es","nuc","nome","pobtotal","pobhomes","pobmulleres"
"2025","32","001","05","05","00","VILAR DE FLORES",57,32,25
"2025","32","001","06","01","00","CAL, A",17,9,8
"2025","32","001","06","02","00","COIRA",50,21,29
"2025","32","001","06","03","00","ENFESTELA, A",13,6,7
"2025","32","001","06","04","00","FOLGOSO",13,6,7
"2025","32","001","06","05","00","GUEDE",20,12,8
"2025","32","001","06","06","00","ROIRIZ",50,26,24
"2025","32","001","07","03","00","CURUXEIRA, A",13,6,7
"2025","32","001","07","04","00","SAN VITOIRO",121,54,67
"2025","32","001","07","05","00","PEDREIRA, A",4,1,3
"2025","32","001","08","01","00","AMIADOSO",75,40,35
"2025","32","001","08","02","00","CASTRELO",5,4,1
"2025","32","001","08","03","00","FORMA, A",9,5,4
"2025","32","001","08","04","00","PENAMÁ",1,1,0
"2025","32","001","08","05","00","SAN MARTIÑO",15,9,6
"2025","32","001","08","06","00","LAMARREDONDA",3,1,2
"2025","32","001","09","01","00","CARDANACHAMA",26,13,13
"2025","32","001","09","02","00","GUNDIÁS",98,42,56
"2025","32","001","09","03","00","QUEIROÁS DA IGREXA",82,38,44
"2025","32","001","09","04","00","QUEIROÁS GRANDE",14,5,9
"2025","32","001","09","06","00","REQUEIXO DE QUEIROÁS",18,7,11
"2025","32","001","09","07","00","QUEIROÁS PEQUENO",1,1,0
"2025","32","001","10","01","00","PACIÑOS",9,5,4
"2025","32","001","10","02","00","REQUEIXO",32,18,14
"2025","32","001","10","03","00","VALVERDE",75,52,23
"2025","32","001","11","01","00","MAGARELOS",12,6,6
"2025","32","001","11","02","00","PORTELA, A",7,3,4
"2025","32","001","11","03","00","QUINTAS DE SAN TROCADO, AS",24,13,11
"2025","32","001","12","01","00","CASALDOIRA",1,0,1
"2025","32","001","12","02","00","PUMARES",22,11,11
"2025","32","001","12","03","00","RODICIO, O",21,9,12
"2025","32","001","12","04","00","SEOANE",13,5,8
"2025","32","001","12","05","00","TORRE, A",9,7,2
"2025","32","001","13","01","00","OUTEIRO DE TORNEIROS",17,9,8
"2025","32","001","13","03","00","PENAFLOR",25,12,13
"2025","32","001","13","04","00","SAN MIGUEL",29,16,13
"2025","32","001","13","05","00","TORNEIROS",40,22,18
"2025","32","001","13","06","00","PARADIÑAS",17,9,8
"2025","32","001","14","01","00","BOUZAS, AS",3,1,2
"2025","32","001","14","02","00","CASNADAGAIA",13,4,9
"2025","32","001","14","03","00","CASTRO, O",22,14,8
"2025","32","001","14","04","00","CONDES DE OROXO, OS",7,3,4
"2025","32","001","14","05","00","POUSA, A",8,4,4
"2025","32","001","14","06","00","SAN MAMEDE",4,2,2
"2025","32","001","14","07","00","TAÍN",4,2,2
"2025","32","001","14","08","00","VILARES",21,11,10
"2025","32","001","14","09","00","RIAL, O",16,8,8
"2025","32","001","15","01","00","POUSADA, A",8,5,3
"2025","32","001","15","02","00","SANTA BAIA",46,28,18
"2025","32","001","15","03","00","TORRE, A",38,20,18
"2025","32","001","16","01","00","ACEA, A",33,17,16
"2025","32","001","16","03","00","RIAL, O",27,18,9
"2025","32","001","16","04","00","PAZO DE MEIRE, O",44,23,21
"2025","32","002","01","01","00","ABRUCIÑOS",70,30,40
"2025","32","002","01","02","00","ARCOS, OS",11,8,3
"2025","32","002","02","01","00","AMOEIRO",410,204,206
"2025","32","002","02","02","00","CASARES, OS",62,33,29
"2025","32","002","02","03","00","COSTA DE MONTE",44,23,21
"2025","32","002","02","04","00","FONTES",29,16,13
"2025","32","002","02","05","00","QUILFONXE",4,3,1
"2025","32","002","02","06","00","OUTEIRO",5,1,4
"2025","32","002","03","02","00","BACURÍN",23,15,8
"2025","32","002","03","04","00","BÓVEDA",231,113,118
"2025","32","002","03","07","00","CHACÍN",15,8,7
"2025","32","002","03","08","00","OUTEIRO",81,35,46
"2025","32","002","03","11","00","TIOLLO, O",7,3,4
"2025","32","002","03","12","00","ALMUZADA",13,7,6
"2025","32","002","03","13","00","VENDANOVA, A",89,43,46
"2025","32","002","04","01","00","BUBEIRAS",5,2,3
"2025","32","002","04","02","00","CODESEDA",22,11,11
"2025","32","002","04","03","00","CORNOCES",96,66,30
"2025","32","002","04","04","00","GARABATOS, OS",28,15,13
"2025","32","002","04","05","00","SABARIZ",8,5,3
"2025","32","002","04","06","00","SANTA BAIA",63,28,35
"2025","32","002","05","01","00","CERVAL",12,7,5
"2025","32","002","05","02","00","FIGUEIRAS",71,36,35
"2025","32","002","05","03","00","FONTEFRÍA",85,38,47
"2025","32","002","05","04","00","SAN XIAO",43,26,17
"2025","32","002","06","01","00","BURGUETE, O",61,28,33
"2025","32","002","06","03","00","PARADA DE AMOEIRO",98,48,50
"2025","32","002","06","05","00","PORTECELOS",45,25,20
"2025","32","002","06","06","00","POBOANZA, A",43,22,21
"2025","32","002","06","08","00","RAIRO",40,19,21
"2025","32","002","07","01","00","AFONSÍN",28,13,15
"2025","32","002","07","02","00","CIMA DE VILA",22,13,9
"2025","32","002","07","03","00","LIÑARES",24,12,12
"2025","32","002","07","04","00","LOUREIRO",116,62,54
"2025","32","002","07","05","00","QUINTÁS, AS",26,7,19
"2025","32","002","07","06","00","REGUENGO, O",38,23,15
"2025","32","002","07","07","00","ROUZÓS",58,28,30
"2025","32","002","07","08","00","TORRE DE ROUZÓS, A",14,8,6
"2025","32","002","08","01","00","ALBEIROS",49,23,26
"2025","32","002","08","02","00","BERGUEIRA, A",96,48,48
"2025","32","002","08","04","00","FORMIGUEIRO, O",19,9,10
"2025","32","002","08","05","00","MONTE ASNAL",18,9,9
"2025","32","002","08","06","00","SOUTOMANCO",10,6,4
"2025","32","002","08","07","00","TRASALBA",60,28,32
"2025","32","002","08","08","00","CIMA DE VILA",49,26,23
"2025","32","003","01","01","00","BACELO",42,21,21
"2025","32","003","01","02","00","CARNÓS",17,9,8
"2025","32","003","01","03","00","CHAOS, OS",50,30,20
"2025","32","003","01","04","00","LAXA, A",73,30,43
"2025","32","003","01","05","00","NOGUEIREDO",18,8,10
"2025","32","003","01","06","00","OLIVEIRA",23,10,13
"2025","32","003","01","07","00","OUTEIRO CRUZ",80,40,40
"2025","32","003","01","08","00","OUTEIRO, O",12,6,6
"2025","32","003","01","09","00","PAIXÓN, A",68,33,35
"2025","32","003","01","10","00","LAPELA",20,10,10
"2025","32","003","01","11","00","PORQUEIRA",16,8,8
"2025","32","003","01","12","00","PONTE, A",37,15,22
"2025","32","003","01","13","00","POMAR, O",16,9,7
"2025","32","003","01","14","00","QUINTEIROS",16,9,7
"2025","32","003","01","15","00","REZA, A",93,44,49
"2025","32","003","01","16","00","RIAL, O",15,9,6
"2025","32","003","01","17","00","SAN AMARO",47,20,27
"2025","32","003","01","18","00","SENDÍN",24,12,12
"2025","32","003","01","19","00","REMUÍÑO",79,42,37
"2025","32","003","01","20","00","VILA TERMAL",200,94,106
"2025","32","004","01","01","00","ABELENDA",211,82,129
"2025","32","004","01","02","00","BOEIXOS, OS",25,9,16
"2025","32","004","01","03","00","CARIXA, A",16,9,7
"2025","32","004","01","04","00","MOURISCADOS",46,19,27
"2025","32","004","01","05","00","RODEIRO, O",56,26,30
"2025","32","004","01","06","00","CASAR DO NABO, O",10,5,5
"2025","32","004","01","07","00","MANGOEIRO",42,21,21
"2025","32","004","01","08","00","PORDELAPA",44,19,25
"2025","32","004","02","01","00","AMIUDAL",110,43,67
"2025","32","004","02","02","00","ESPIÑEIRO",19,7,12
"2025","32","004","02","03","00","PASCAIS",29,13,16
"2025","32","004","03","01","00","CERNADAS",37,16,21
"2025","32","004","03","02","00","AVIÓN",278,136,142
"2025","32","004","03","03","00","SAN VICENZO",56,23,33
"2025","32","004","03","04","00","BERESMO",189,98,91
"2025","32","004","04","01","00","ACEVEDO",1,0,1
"2025","32","004","04","02","00","BAÍSTE",20,11,9
"2025","32","004","04","03","00","LIÑARES",78,32,46
"2025","32","004","04","04","00","RUBILLÓN",29,13,16
"2025","32","004","05","01","00","BARROSO",104,52,52
"2025","32","004","05","02","00","VILAR",21,11,10
"2025","32","004","06","01","00","CÓRCORES",17,7,10
"2025","32","004","07","01","00","CORTEGAZAS",5,2,3
"2025","32","004","08","01","00","COUSO",11,6,5
"2025","32","004","08","02","00","HEDREIRA, A",8,4,4
"2025","32","004","08","03","00","PENEDO",11,6,5
"2025","32","004","08","04","00","TABOAZAS",2,2,0
"2025","32","004","08","05","00","VILARIÑO",14,5,9
"2025","32","004","09","01","00","BELECÓN",44,24,20
"2025","32","004","09","02","00","CAMPOSANCOS",40,19,21
"2025","32","004","09","03","00","CASEIRO, O",28,12,16
"2025","32","004","09","04","00","OROSO",57,21,36
"2025","32","004","09","05","00","CERDEIROA",8,5,3
"2025","32","004","09","06","00","LAGOA",12,5,7
"2025","32","004","09","07","00","MOTA, A",9,4,5
"2025","32","004","09","08","00","PORREIRA, A",17,6,11
"2025","32","005","01","01","00","QUINTÁ",23,12,11
"2025","32","005","01","02","00","SABUCEDO DOS PEROS",27,15,12
"2025","32","005","01","03","00","SAN MARTIÑO DOS PEROS",26,13,13
"2025","32","005","01","04","00","SAN PAIO",84,40,44
"2025","32","005","02","01","00","BALTAR",221,125,96
"2025","32","005","02","02","00","GOMARIZ",17,10,7
"2025","32","005","03","01","00","BOUZO, O",12,6,6
"2025","32","005","03","02","00","GARABELOS",44,25,19
"2025","32","005","04","01","00","NIÑODAGUIA",56,33,23
"2025","32","005","05","01","00","TIXÓS",67,33,34
"2025","32","005","06","01","00","MEAUS",29,15,14
"2025","32","005","06","02","00","TOSENDE",44,27,17
"2025","32","005","07","01","00","MONTECELO",30,17,13
"2025","32","005","07","02","00","SANTO ANTOÍÑO",20,10,10
"2025","32","005","07","03","00","VILAMAIOR DA BOULLOSA",164,85,79
"2025","32","006","01","01","00","BANDE",661,323,338
"2025","32","006","01","02","00","BUXÁN",15,6,9
"2025","32","006","01","03","00","LUEDA",22,13,9
"2025","32","006","01","04","00","MARTIÑÁN",53,25,28
"2025","32","006","01","05","00","RECAREI",29,13,16
"2025","32","006","01","06","00","SARREAUS",31,15,16
"2025","32","006","01","07","00","SEOANE",6,4,2
"2025","32","006","01","08","00","XORDOS",20,13,7
"2025","32","006","01","09","00","VILAMEÁ",19,8,11
"2025","32","006","02","01","00","BAÑO, O",3,1,2
"2025","32","006","02","02","00","LOBOSANDAUS",18,10,8
"2025","32","006","02","03","00","MAUS, AS",10,7,3
"2025","32","006","02","04","00","VILELA",13,8,5
"2025","32","006","03","01","00","CADÓS",16,9,7
"2025","32","006","03","02","00","CIMA DE VILA",0,0,0
"2025","32","006","03","03","00","PONTE CADÓS",1,1,0
"2025","32","006","03","04","00","GRANXA, A",16,7,9
"2025","32","006","03","05","00","PAZOS",4,2,2
"2025","32","006","03","06","00","PUMARES",0,0,0
"2025","32","006","03","07","00","RUBIÁS",14,10,4
"2025","32","006","03","08","00","SOUTO, O",4,3,1
"2025","32","006","04","01","00","ALDEA DE ARRIBA, A",28,16,12
"2025","32","006","04","02","00","IGREXA, A",15,11,4
"2025","32","006","04","03","00","RIBAS",31,17,14
"2025","32","006","04","04","00","VILAMEÁ",5,3,2
"2025","32","006","05","01","00","CARPAZÁS",17,8,9
"2025","32","006","05","02","00","TRARIGO",26,15,11
"2025","32","006","06","01","00","CORVELLE",40,23,17
"2025","32","006","06","02","00","PEREIRA",36,20,16
"2025","32","006","07","01","00","GARABELOS",32,16,16
"2025","32","006","08","01","00","GÜÍN",26,16,10
"2025","32","006","08","02","00","PONTE LIÑARES, A",11,6,5
"2025","32","006","09","01","00","OUTEIRO, O",15,7,8
"2025","32","006","09","02","00","QUINTÁ",3,1,2
"2025","32","006","09","03","00","VIÑAL, O",17,9,8
"2025","32","006","10","01","00","BARRIO",12,6,6
"2025","32","006","10","02","00","CAMPINAS, AS",18,10,8
"2025","32","006","10","03","00","FERVENZA",15,6,9
"2025","32","006","10","04","00","QUINTELA",11,7,4
"2025","32","006","10","05","00","SAN FIZ",10,5,5
"2025","32","006","11","01","00","FORCADAS, AS",13,7,6
"2025","32","006","11","02","00","MEXIDE",6,3,3
"2025","32","006","11","03","00","PAZO, O",17,9,8
"2025","32","006","11","04","00","PORTO QUINTELA",1,1,0
"2025","32","006","11","05","00","QUINTELA",19,9,10
"2025","32","006","11","06","00","SANTA COMBA",57,28,29
"2025","32","006","12","01","00","VILAR",23,10,13
"2025","32","007","00","01","00","PENOUZOS",0,0,0
"2025","32","007","01","01","00","ALMOITE",117,62,55
"2025","32","007","02","01","00","ACEA, A",6,4,2
"2025","32","007","02","02","00","CALVARIO, O",1,1,0
"2025","32","007","02","03","00","FONDODEVILA",7,3,4
"2025","32","007","02","04","00","OUTEIRO, O",12,6,6
"2025","32","007","02","05","00","PAZOS",7,4,3
"2025","32","007","02","06","00","PENAS, AS",1,1,0
"2025","32","007","02","07","00","SANTA EUFEMIA",20,12,8
"2025","32","007","02","08","00","SUATORRE",9,7,2
"2025","32","007","02","09","00","VILAMEÁ",20,5,15
"2025","32","007","02","10","00","VIÑAL, O",15,8,7
"2025","32","007","03","01","00","ALVITE",46,21,25
"2025","32","007","03","02","00","BAÑOS DE MOLGAS",336,177,159
"2025","32","007","03","03","00","BOUZAS",16,6,10
"2025","32","007","03","04","00","FORMIGOSO",8,4,4
"2025","32","007","03","05","00","NOCELO",11,6,5
"2025","32","007","04","01","00","BETÁN",17,7,10
"2025","32","007","04","02","00","BRANDÍN",31,17,14
"2025","32","007","04","03","00","CARDOEIRO",18,11,7
"2025","32","007","04","04","00","GUEDE",14,5,9
"2025","32","007","04","05","00","NOGUEIRA DE ABAIXO",4,2,2
"2025","32","007","04","06","00","NOGUEIRA DE ARRIBA",6,3,3
"2025","32","007","04","07","00","SAN MARTIÑO",13,7,6
"2025","32","007","04","08","00","SANGUÑEDO",35,14,21
"2025","32","007","05","01","00","GASPAR",2,1,1
"2025","32","007","05","02","00","VENDA, A",3,2,1
"2025","32","007","06","01","00","LAMELA, A",11,7,4
"2025","32","007","07","01","00","GUAMIL",27,11,16
"2025","32","007","08","01","00","CALVELO",37,16,21
"2025","32","007","08","02","00","XOCÍN",22,9,13
"2025","32","007","08","03","00","VILARIÑO",41,19,22
"2025","32","007","09","01","00","POEDO",54,26,28
"2025","32","007","10","01","00","PRESQUEIRA",75,35,40
"2025","32","007","11","01","00","CACHAGONZA",4,2,2
"2025","32","007","11","02","00","MARZÁS",7,2,5
"2025","32","007","11","03","00","PAZO, O",10,7,3
"2025","32","007","11","04","00","PONTE AMBÍA DE ABAIXO",11,7,4
"2025","32","007","11","05","00","PONTE AMBÍA DE ARRIBA",25,11,14
"2025","32","007","11","06","00","PUMARES",4,2,2
"2025","32","007","11","07","00","VILAR",3,1,2
"2025","32","007","12","01","00","SAN PEDRO DA RIBEIRA",42,18,24
"2025","32","007","13","01","00","FRANCOS",33,17,16
"2025","32","007","13","02","00","FROUFE",71,36,35
"2025","32","007","13","03","00","MEAMÁN",66,33,33
"2025","32","007","13","04","00","MILAGRES DO MONTE MEDO, OS",72,49,23
"2025","32","007","13","05","00","VIDE",80,43,37
"2025","32","008","01","01","00","ALTO DO PONTÓN, O",0,0,0
"2025","32","008","01","02","00","BARBADÁS",234,122,112
"2025","32","008","01","03","00","CIMADEVILA",102,47,55
"2025","32","008","01","04","00","FORNOS, OS",18,9,9
"2025","32","008","01","05","00","MUÍÑOS, OS",3,1,2
"2025","32","008","01","06","00","PONTÓN, O",74,33,41
"2025","32","008","01","07","00","SAN AMARO",7,4,3
"2025","32","008","02","01","00","BENTRACES",303,155,148
"2025","32","008","03","01","00","LOIRO",155,82,73
"2025","32","008","04","01","00","BARXA, A",23,10,13
"2025","32","008","04","02","00","CABEZA DE VACA",503,222,281
"2025","32","008","04","03","00","GODEXÁS",46,21,25
"2025","32","008","04","04","00","PARADA, A",325,168,157
"2025","32","008","04","05","00","PIÑEIRO, O",135,67,68
"2025","32","008","04","06","00","PIPILEIRA, A",197,84,113
"2025","32","008","04","07","00","QUINTAS, AS",58,29,29
"2025","32","008","04","08","00","REQUEIXO",124,59,65
"2025","32","008","04","09","00","ROMA",314,153,161
"2025","32","008","04","10","00","SANTA UXÍA",12,7,5
"2025","32","008","04","11","00","MUN DI DEU",48,26,22
"2025","32","008","05","01","00","SOBRADO DO BISPO",596,288,308
"2025","32","008","06","02","00","LAMAS, AS",348,180,168
"2025","32","008","06","03","00","VALENZÁ, A",7222,3497,3725
"2025","32","008","06","04","00","FONSILLÓN, O",14,6,8
"2025","32","008","06","05","00","FONSILLON, O",331,159,172
"2025","32","009","00","01","00","REPORICELO",0,0,0
"2025","32","009","01","01","00","ALIXO",25,14,11
"2025","32","009","01","02","00","RAXOÁ",16,4,12
"2025","32","009","01","03","00","SAN MARTIÑO",0,0,0
"2025","32","009","02","01","00","BARCO, O",11101,5325,5776
"2025","32","009","02","02","00","VEIGA DE CABO",77,38,39
"2025","32","009","03","01","00","CASTRO, O",67,31,36
"2025","32","009","03","02","00","CÓRREGO, O",3,1,2
"2025","32","009","03","03","00","OUTARELO",17,9,8
"2025","32","009","04","01","00","CESURES",11,6,5
"2025","32","009","04","02","00","VALES",19,11,8
"2025","32","009","05","01","00","ÉNTOMA",275,137,138
"2025","32","009","06","01","00","FORCADELA",13,6,7
"2025","32","009","06","02","00","NOGALEDO",0,0,0
"2025","32","009","07","01","00","XAGOAZA",47,28,19
"2025","32","009","07","02","00","FERRADAL, O",7,4,3
"2025","32","009","08","01","00","CANDÍS",6,3,3
"2025","32","009","08","02","00","MILLAROUSO",33,16,17
"2025","32","009","08","03","00","SANTURXO",14,6,8
"2025","32","009","08","04","00","CARREIRAS, AS",8,5,3
"2025","32","009","09","01","00","PROBA, A",135,67,68
"2025","32","009","09","02","00","VEIGAMUÍÑOS",250,129,121
"2025","32","009","11","01","00","FERVENZA",16,8,8
"2025","32","009","11","02","00","MEIRAL, O",1,1,0
"2025","32","009","11","03","00","SANTA MARIÑA",15,10,5
"2025","32","009","12","01","00","CASTRO",10,5,5
"2025","32","009","12","02","00","SANTIGOSO",84,46,38
"2025","32","009","12","03","00","SOULECÍN",23,14,9
"2025","32","009","12","04","00","VILARIÑO",20,12,8
"2025","32","009","13","01","00","VILOVAL",46,25,21
"2025","32","009","13","02","00","VILANOVA",231,125,106
"2025","32","009","14","01","00","COEDO",27,15,12
"2025","32","009","15","01","00","VILOIRA",773,373,400
"2025","32","010","01","01","00","BEADE",316,158,158
"2025","32","010","02","01","00","REGADAS, AS",47,23,24
"2025","32","011","01","01","00","ALVITE",23,13,10
"2025","32","011","01","02","00","BEARIZ",294,135,159
"2025","32","011","01","03","00","BOUZA, A",63,32,31
"2025","32","011","01","04","00","GARFIÁN",14,9,5
"2025","32","011","01","05","00","MAGROS",112,46,66
"2025","32","011","01","06","00","MURADÁS",88,47,41
"2025","32","011","02","01","00","ABELEIRA, A",14,6,8
"2025","32","011","02","02","00","ALÉN, A",15,5,10
"2025","32","011","02","03","00","DOADE",77,35,42
"2025","32","011","02","04","00","CORREA",12,4,8
"2025","32","011","02","05","00","FRAMIA",16,7,9
"2025","32","011","02","06","00","RICOVANCA",11,8,3
"2025","32","011","03","01","00","ARNELAS",9,4,5
"2025","32","011","03","02","00","ERMIDA, A",40,18,22
"2025","32","011","03","03","00","LEBOZÁN",54,22,32
"2025","32","011","03","04","00","LIÑARES, OS",14,8,6
"2025","32","011","03","05","00","ANTAS, AS",18,5,13
"2025","32","011","03","06","00","VENTELAS, AS",19,10,9
"2025","32","012","01","01","00","AGUÍS",13,8,5
"2025","32","012","01","02","00","ASPRA, A",4,3,1
"2025","32","012","01","03","00","FONTE ARCADA",63,35,28
"2025","32","012","01","04","00","LOURESES",60,29,31
"2025","32","012","01","05","00","MOSTEIRO, O",14,5,9
"2025","32","012","02","01","00","BLANCOS, OS",91,51,40
"2025","32","012","02","03","00","OUTEIRO, O",19,9,10
"2025","32","012","02","04","00","OUVIGO",33,17,16
"2025","32","012","03","01","00","COVAS",18,12,6
"2025","32","012","03","02","00","PENALONGA",9,3,6
"2025","32","012","04","01","00","COVELAS",87,47,40
"2025","32","012","04","02","00","VILAR DE COVELAS",62,30,32
"2025","32","012","05","01","00","CERDEIRA",1,0,1
"2025","32","012","05","02","00","CUQUEXOS, OS",15,8,7
"2025","32","012","05","03","00","GUNTÍN",9,5,4
"2025","32","012","05","05","00","RABEA, A",11,6,5
"2025","32","012","05","06","00","PEXEIRÓS",43,27,16
"2025","32","012","06","01","00","NOCEDO",98,51,47
"2025","32","012","06","02","00","NÓVEAS",14,8,6
"2025","32","012","07","01","00","PEXEIROS",36,20,16
"2025","32","013","01","01","00","COSTA, A",12,9,3
"2025","32","013","01","02","00","DISTRIZ",11,6,5
"2025","32","013","01","03","00","EIRAVEDRA",16,9,7
"2025","32","013","01","04","00","IGREXARIO, O",31,17,14
"2025","32","013","01","05","00","LAMELA",18,9,9
"2025","32","013","01","06","00","PAREDES",0,0,0
"2025","32","013","01","07","00","REGUEIRO, O",7,5,2
"2025","32","013","01","08","00","SA",15,7,8
"2025","32","013","01","09","00","SALÓN",35,18,17
"2025","32","013","01","10","00","SANTO ANDRÉ",16,11,5
"2025","32","013","01","11","00","SOBREDO",25,13,12
"2025","32","013","01","12","00","VALDESENDA",10,3,7
"2025","32","013","02","01","00","BATALLÁS",8,2,6
"2025","32","013","02","02","00","CIBREIRO",9,4,5
"2025","32","013","02","03","00","EIXÁN",9,6,3
"2025","32","013","02","04","00","FONDO DE VILA",44,21,23
"2025","32","013","02","05","00","XOANE",0,0,0
"2025","32","013","02","08","00","ASTURESES",69,36,33
"2025","32","013","03","06","00","RIANDE",3,3,0
"2025","32","013","03","09","00","TEIXEIRA, A",0,0,0
"2025","32","013","03","11","00","BRUÉS",201,93,108
"2025","32","013","03","12","00","PONTE, A",5,3,2
"2025","32","013","04","01","00","CAMEIXA",162,75,87
"2025","32","013","04","02","00","CÓRNEAS",0,0,0
"2025","32","013","04","03","00","CURRELO, O",4,2,2
"2025","32","013","04","05","00","GONTELLE",5,2,3
"2025","32","013","04","06","00","GRANXA, A",7,4,3
"2025","32","013","04","08","00","PARADA",33,14,19
"2025","32","013","04","09","00","SALCEDA",16,8,8
"2025","32","013","04","10","00","SAN BARTOLOMEU DA FREIXA",10,8,2
"2025","32","013","04","11","00","VILANOVA",4,1,3
"2025","32","013","05","01","00","CARDELLE",23,11,12
"2025","32","013","06","02","00","BORRAXAS",4,2,2
"2025","32","013","06","05","00","FEÁS",220,103,117
"2025","32","013","06","06","00","FENTEIRA, A",25,12,13
"2025","32","013","06","07","00","VILACHÁ",78,42,36
"2025","32","013","07","01","00","XENDIVE",79,38,41
"2025","32","013","07","03","00","NOGUEIRA",16,10,6
"2025","32","013","08","01","00","VALBOA",9,5,4
"2025","32","013","08","02","00","ENSALDE",5,2,3
"2025","32","013","08","03","00","IGREXARIO, O",3,2,1
"2025","32","013","08","04","00","XURENZÁS",20,11,9
"2025","32","013","08","05","00","PRADO, O",3,1,2
"2025","32","013","08","06","00","PONTE NOVA, A",7,5,2
"2025","32","013","08","07","00","VENTOSA",35,16,19
"2025","32","013","09","01","00","ALMUZARA, A",50,27,23
"2025","32","013","09","02","00","BOBORÁS",124,65,59
"2025","32","013","09","03","00","FRANZA",23,11,12
"2025","32","013","09","04","00","XESTEIRA",12,5,7
"2025","32","013","09","05","00","IGREXARIO, O",0,0,0
"2025","32","013","09","06","00","PENEDO DE XUVENCOS, O",34,15,19
"2025","32","013","09","07","00","QUINTÁS, AS",7,2,5
"2025","32","013","09","08","00","RODAS",9,6,3
"2025","32","013","09","09","00","SANDE",19,8,11
"2025","32","013","10","01","00","LAXAS",21,10,11
"2025","32","013","10","03","00","LIÑARIÑOS",32,13,19
"2025","32","013","12","01","00","XESTEIRA",1,0,1
"2025","32","013","12","02","00","GROBA, A",28,19,9
"2025","32","013","12","04","00","MIANDREIRAS",19,10,9
"2025","32","013","12","05","00","MOLDES",74,39,35
"2025","32","013","12","06","00","NONÁS",12,5,7
"2025","32","013","12","08","00","PORTO DO CARRO, O",3,1,2
"2025","32","013","12","09","00","VALIÑAS",5,3,2
"2025","32","013","12","10","00","PONTERRIZA",7,4,3
"2025","32","013","13","01","00","FONTE MOREIRAS",29,11,18
"2025","32","013","13","02","00","GABIÁN",3,1,2
"2025","32","013","13","03","00","MOREIRAS",16,9,7
"2025","32","013","13","06","00","VECOÑA",79,34,45
"2025","32","013","14","06","00","PAZOS DE ARENTEIRO",115,52,63
"2025","32","013","15","04","00","SONELLE",18,8,10
"2025","32","013","15","05","00","REGUEIRO, O",107,50,57
"2025","32","014","01","01","00","CABANAS",0,0,0
"2025","32","014","01","02","00","CASAL DE MORGADE, O",9,5,4
"2025","32","014","01","03","00","ESPIÑAL, O",2,1,1
"2025","32","014","01","04","00","FURRIOLO, O",28,14,14
"2025","32","014","01","05","00","FROIAS",6,5,1
"2025","32","014","01","06","00","MORGADE",4,2,2
"2025","32","014","01","07","00","QUINTAS, AS",20,10,10
"2025","32","014","01","08","00","ROZAS",0,0,0
"2025","32","014","01","09","00","SAN MAMEDE",4,4,0
"2025","32","014","01","10","00","SAN MARTIÑO",5,3,2
"2025","32","014","01","11","00","VAL DE BOI, O",6,3,3
"2025","32","014","02","01","00","BERREDO",21,8,13
"2025","32","014","02","02","00","CAPELO, O",18,9,9
"2025","32","014","02","03","00","CORTIÑA, A",2,1,1
"2025","32","014","02","04","00","SAN PEDRO",17,9,8
"2025","32","014","03","01","00","ALDEA FERREIRO",16,8,8
"2025","32","014","03","02","00","ANXÁ",3,1,2
"2025","32","014","03","03","00","BOLA, A",6,2,4
"2025","32","014","03","04","00","CASAL DO RÍO, O",5,3,2
