"ano","codprov","codmun","ec","es","nuc","nome","pobtotal","pobhomes","pobmulleres"
"2025","32","001","00","01","00","CAMPELO",2,0,2
"2025","32","001","00","02","00","FORXÁS DE MONTES",0,0,0
"2025","32","001","00","03","00","VENTA DO RÍO",0,0,0
"2025","32","001","01","01","00","ARMEA",2,2,0
"2025","32","001","01","02","00","DUCÍ",6,3,3
"2025","32","001","01","03","00","LAIOSO",37,17,20
"2025","32","001","01","04","00","OUTEIRO DE LAXE",15,7,8
"2025","32","001","01","05","00","SANTA MARIÑA DE AUGAS SANTAS",49,26,23
"2025","32","001","01","06","00","SOUTO, O",18,7,11
"2025","32","001","01","07","00","TOSENDE",7,5,2
"2025","32","001","01","08","00","TURZÁS",4,2,2
"2025","32","001","01","09","00","VILA, A",7,3,4
"2025","32","001","01","10","00","PAZO",0,0,0
"2025","32","001","02","01","00","AIRA VELLA",4,2,2
"2025","32","001","02","02","00","GUIMARÁS",22,12,10
"2025","32","001","02","03","00","NANÍN",73,37,36
"2025","32","001","02","04","00","PORTELA DE AIRA VELLA, A",39,19,20
"2025","32","001","02","05","00","VILABOA",78,35,43
"2025","32","001","02","06","00","VILARIÑO DE TRAS DO CONVENTO",55,32,23
"2025","32","001","03","01","00","ALLARIZ",4157,2052,2105
"2025","32","001","03","02","00","FRIEIRA",26,12,14
"2025","32","001","03","03","00","MATO, O",67,31,36
"2025","32","001","03","04","00","OUTEIRO DE ORRACA",224,105,119
"2025","32","001","03","06","00","PAICORDEIRO",39,21,18
"2025","32","001","03","07","00","ROIMELO",66,32,34
"2025","32","001","03","08","00","SAN SALVADOR, O",4,2,2
"2025","32","001","03","09","00","XUGUEIROS",56,26,30
"2025","32","001","04","01","00","COEDO",35,21,14
"2025","32","001","04","02","00","NOVÁS",5,2,3
"2025","32","001","05","01","00","CASAS NOVAS, AS",7,3,4
"2025","32","001","05","02","00","ESPIÑEIROS, OS",22,14,8
"2025","32","001","05","03","00","RUBIÁS",19,10,9
"2025","32","001","05","04","00","SANTO ESTEVO",8,4,4
